id;title;author;gender;year-birth;year-death;year-worldcat;year-ref;language;translation;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG63338;Valperga Volume 2 (of 3): or, The life and adventures of Castruccio, prince of Lucca;Shelley, Mary Wollstonecraft;;1797.0;1851.0;1823.0;1823;['en'];;31;{'Castracani, Castruccio, 1281-1328 -- Fiction', 'Lucca (Italy) -- History -- Fiction', 'Guelfs and Ghibellines -- History -- Fiction', 'Italy -- History -- 1268-1492 -- Fiction', 'Condottieri -- Fiction', 'Historical fiction'};Mary+Shelley;Valperga+life;https://www.worldcat.org/search?q=Mary+Shelley+Valperga+life&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG9785;"Woodstock; or, the Cavalier";Scott, Walter;;1771.0;1832.0;1826.0;1826;['en'];;68;{'Historical fiction', 'Great Britain -- History -- Commonwealth and Protectorate, 1649-1660 -- Fiction'};Walter+Scott;Woodstock+Cavalier;https://www.worldcat.org/search?q=Walter+Scott+Woodstock+Cavalier&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40974;Blue-Stocking Hall, (Vol. 1 of 3);Scargill, William Pitt;;1787.0;1836.0;1827.0;1827;['en'];;10;{'Women -- Education -- Fiction', 'Women -- Conduct of life -- Fiction', 'Epistolary fiction'};William+Scargill;Blue+Stocking;https://www.worldcat.org/search?q=William+Scargill+Blue+Stocking&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG11409;The Red Rover: A Tale;Cooper, James Fenimore;;1789.0;1851.0;1827.0;1827;['en'];;95;{'Newport (R.I.) -- Fiction'};James+Cooper;Rover+Tale;https://www.worldcat.org/search?q=James+Cooper+Rover+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG41212;"The Eve of All-Hallows; Or, Adelaide of Tyrconnel, v. 1 of 3";Hartstonge, Matthew Weld;;1772.0;;1825.0;1825;['en'];;15;{'Fiction'};Matthew+Hartstonge;Hallows+Adelaide;https://www.worldcat.org/search?q=Matthew+Hartstonge+Hallows+Adelaide&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44252;Richelieu: A Tale of France, v. 1/3;James, G. P. R. (George Payne Rainsford);;1799.0;1860.0;1800.0;1829;['en'];;25;{'Richelieu, Armand Jean du Plessis, duc de, 1585-1642 -- Fiction'};James;Richelieu+Tale;https://www.worldcat.org/search?q=James+Richelieu+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG43678;"Anne of Geierstein; Or, The Maiden of the Mist. Volume 1 (of 2)";Scott, Walter;;1771.0;1832.0;1829.0;1829;['en'];;48;{'France -- History -- Louis XI, 1461-1483 -- Fiction'};Walter+Scott;Anne+Geierstein;https://www.worldcat.org/search?q=Walter+Scott+Anne+Geierstein&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG58002;"Bertha's Visit to Her Uncle in England; vol. 1 [of 3]";Marcet, Mrs. (Jane Haldimand);;1769.0;1858.0;1829.0;1829;['en'];;10;{'Science -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Epistolary fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Mothers and daughters -- Juvenile fiction', 'Geology -- Juvenile fiction', 'Natural history -- Juvenile fiction', 'Kindness -- Juvenile fiction'};Mrs+Marcet;Bertha+Visit;https://www.worldcat.org/search?q=Mrs+Marcet+Bertha+Visit&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG58004;"Bertha's Visit to Her Uncle in England; vol. 3 [of 3]";Marcet, Mrs. (Jane Haldimand);;1769.0;1858.0;1829.0;1829;['en'];;3;{'Uncles -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Epistolary fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Kindness -- Juvenile fiction', 'Mothers and daughters -- Juvenile fiction', 'Geology -- Juvenile fiction', 'Natural history -- Juvenile fiction', 'Science -- Juvenile fiction'};Mrs+Marcet;Bertha+Visit;https://www.worldcat.org/search?q=Mrs+Marcet+Bertha+Visit&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7632;The Disowned — Volume 02;Lytton, Edward Bulwer Lytton, Baron;;1803.0;1873.0;1829.0;1829;['en'];;8;{'English fiction -- 19th century'};Edward+Lytton;Disowned;https://www.worldcat.org/search?q=Edward+Lytton+Disowned&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53685;Melmoth the Wanderer, Vol. 1;Maturin, Charles Robert;;1780.0;1824.0;1821.0;1821;['en'];;110;{'Immortalism -- Fiction', 'Gothic fiction', 'Paranormal fiction', 'Horror tales'};Charles+Maturin;Melmoth+Wanderer;https://www.worldcat.org/search?q=Charles+Maturin+Melmoth+Wanderer&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG57638;The Chartreuse of Parma: Translated from the French of Stendhal (Henri Beyle);Stendhal;;1783.0;1842.0;1900.0;1822;['en'];;184;{'Parma (Italy) -- Fiction', 'Italy -- Social life and customs -- 19th century -- Fiction', 'Political fiction', 'Love stories', 'Young men -- Italy -- Parma -- Fiction'};Stendhal;Chartreuse+Parma;https://www.worldcat.org/search?q=Stendhal+Chartreuse+Parma&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG24024;Ups and Downs in the Life of a Distressed Gentleman;Stone, William L. (William Leete);;1792.0;1844.0;2008.0;1828;['en'];;19;{'New York (State) -- Fiction'};William+Stone;Downs+Life;https://www.worldcat.org/search?q=William+Stone+Downs+Life&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG66374;The Charterhouse of Parma, Volume 1;Stendhal;;1783.0;1842.0;2009.0;1822;['en'];;169;{'Parma (Italy) -- Fiction', 'Italy -- Social life and customs -- 19th century -- Fiction', 'Political fiction', 'Love stories', 'Young men -- Italy -- Parma -- Fiction'};Stendhal;Charterhouse+Parma;https://www.worldcat.org/search?q=Stendhal+Charterhouse+Parma&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG63339;Valperga Volume 3 (of 3): or, The life and adventures of Castruccio, prince of Lucca;Shelley, Mary Wollstonecraft;;1797.0;1851.0;1823.0;1823;['en'];;31;{'Castracani, Castruccio, 1281-1328 -- Fiction', 'Lucca (Italy) -- History -- Fiction', 'Guelfs and Ghibellines -- History -- Fiction', 'Italy -- History -- 1268-1492 -- Fiction', 'Condottieri -- Fiction', 'Historical fiction'};Mary+Shelley;Valperga+life;https://www.worldcat.org/search?q=Mary+Shelley+Valperga+life&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG39872;"The Three Perils of Man; or, War, Women, and Witchcraft, Vol. 2 (of 3)";Hogg, James;;1770.0;1835.0;1822.0;1822;['en'];;12;{'Historical fiction', 'Scotland -- History -- Robert II, 1371-1390 -- Fiction'};James+Hogg;Three+Perils;https://www.worldcat.org/search?q=James+Hogg+Three+Perils&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1296;The Provost;Galt, John;;1779.0;1839.0;1822.0;1822;['en'];;16;{'Municipal government -- Fiction', 'Merchants -- Fiction', 'Irvine (Scotland) -- Fiction', 'Political fiction', 'Humorous stories', 'Politicians -- Fiction', 'Scotland -- Social life and customs -- Fiction'};John+Galt;Provost;https://www.worldcat.org/search?q=John+Galt+Provost&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56426;The Mummy! A Tale of the Twenty-Second Century;Loudon, Mrs. (Jane);;1807.0;1858.0;1827.0;1827;['en'];;94;{'Feminist fiction', 'Twenty-second century -- Fiction', 'Science fiction'};Mrs+Loudon;Mummy+Tale;https://www.worldcat.org/search?q=Mrs+Loudon+Mummy+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG65597;Tales of the Wild and the Wonderful [1825];Dods, Mary Diana;;;1829.0;1825.0;1825;['en'];;18;{'Adventure stories', 'Fiction'};Mary+Dods;Tales+Wild;https://www.worldcat.org/search?q=Mary+Dods+Tales+Wild&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44959;"Tales of My Time, Vol. 2 (of 3): Who Is She? [concluded]; The Young Reformers";Scargill, William Pitt;;1787.0;1836.0;1829.0;1829;['en'];;16;{'England -- Social life and customs -- 19th century -- Fiction'};William+Scargill;Tales+Time;https://www.worldcat.org/search?q=William+Scargill+Tales+Time&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7853;Quentin Durward;Scott, Walter;;1771.0;1832.0;1823.0;1823;['en'];;171;{'France -- History -- Louis XI, 1461-1483 -- Fiction', 'Charles, Duke of Burgundy, 1433-1477 -- Fiction', 'Scots -- France -- Fiction', 'Historical fiction', 'Louis XI, King of France, 1423-1483 -- Fiction'};Walter+Scott;Quentin+Durward;https://www.worldcat.org/search?q=Walter+Scott+Quentin+Durward&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44560;"Three Courses and a Dessert: Comprising Three Sets of Tales, West Country, Irish, and Legal; and a Melange";Clarke, William;;1800.0;1838.0;2008.0;1829;['en'];;37;{'West Country (England) -- Social life and customs -- Fiction', 'Legal stories, English', 'Ireland -- Social life and customs -- Fiction'};William+Clarke;Three+Courses;https://www.worldcat.org/search?q=William+Clarke+Three+Courses&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG54485;Symzonia: Voyage of Discovery;Seaborn, Adam, Captain;;;;1820.0;1820;['en'];;49;{'Voyages, Imaginary', 'Science fiction'};Adam+Seaborn;Symzonia+Voyage;https://www.worldcat.org/search?q=Adam+Seaborn+Symzonia+Voyage&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG54864;"Rank and Talent; A Novel, Vol. 3 (of 3)";Scargill, William Pitt;;1787.0;1836.0;1829.0;1829;['en'];;6;{'England -- Social life and customs -- 19th century -- Fiction'};William+Scargill;Rank+Talent;https://www.worldcat.org/search?q=William+Scargill+Rank+Talent&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG63295;The Wishing Cap;Sherwood, Mary Martha;;1775.0;1851.0;1827.0;1827;['en'];;3;{'Wishes -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Avarice -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Children -- Death -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Kindness -- Juvenile fiction'};Mary+Sherwood;Wishing;https://www.worldcat.org/search?q=Mary+Sherwood+Wishing&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG55219;The Prose Tales of Alexander Pushkin;Pushkin, Aleksandr Sergeevich;;1799.0;1837.0;1936.0;1828;['en'];;435;{'Short stories, Russian -- Translations into English', 'Pushkin, Aleksandr Sergeevich, 1799-1837 -- Translations into English', 'Russia -- Social life and customs -- Fiction'};Aleksandr+Pushkin;Prose+Tales;https://www.worldcat.org/search?q=Aleksandr+Pushkin+Prose+Tales&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7636;The Disowned — Volume 06;Lytton, Edward Bulwer Lytton, Baron;;1803.0;1873.0;1829.0;1829;['en'];;4;{'English fiction -- 19th century'};Edward+Lytton;Disowned;https://www.worldcat.org/search?q=Edward+Lytton+Disowned&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53455;"Rank and Talent; A Novel, Vol. 1 (of 3)";Scargill, William Pitt;;1787.0;1836.0;1829.0;1829;['en'];;7;{'England -- Social life and customs -- 19th century -- Fiction'};William+Scargill;Rank+Talent;https://www.worldcat.org/search?q=William+Scargill+Rank+Talent&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
