id;title;author;gender;year-birth;year-death;year-worldcat;year-ref;language;translation;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG55137;The Mystery Queen;Hume, Fergus;;1859.0;1932.0;1912.0;1912;['en'];;43;{'Detective and mystery stories', 'Murder -- Investigation -- Fiction'};Fergus+Hume;Mystery+Queen;https://www.worldcat.org/search?q=Fergus+Hume+Mystery+Queen&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG28038;"Watch and Wait; or, The Young Fugitives";Optic, Oliver;;1822.0;1897.0;1866.0;1866;['en'];;8;{'Fugitive slaves -- Juvenile fiction'};Oliver+Optic;Watch+Wait;https://www.worldcat.org/search?q=Oliver+Optic+Watch+Wait&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG48545;Fables of Field and Staff;Frye, James A. (James Albert);;1863.0;1933.0;1894.0;1894;['en'];;8;{'Short stories, American', 'Soldiers -- Fiction'};James+Frye;Fables+Field;https://www.worldcat.org/search?q=James+Frye+Fables+Field&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33579;Last Words;Crane, Stephen;;1871.0;1900.0;2004.0;1896;['en'];;76;{'Essays', 'Fiction'};Stephen+Crane;Last+Words;https://www.worldcat.org/search?q=Stephen+Crane+Last+Words&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG39896;The Girl Next Door;Seaman, Augusta Huiell;;1879.0;1950.0;1917.0;1917;['en'];;26;{'Friendship -- Juvenile fiction', 'Mystery fiction', 'Girls -- Juvenile fiction'};Augusta+Seaman;Girl+Next;https://www.worldcat.org/search?q=Augusta+Seaman+Girl+Next&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG43762;The Gnomes of the Saline Mountains: A Fantastic Narrative;Gross, Anna Goldmark;;;;1911.0;1911;['en'];;11;{'Fantasy fiction'};Anna+Gross;Gnomes+Saline;https://www.worldcat.org/search?q=Anna+Gross+Gnomes+Saline&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG18957;Strangers at Lisconnel;Barlow, Jane;;;1917.0;1895.0;1895;['en'];;51;{'Ireland -- Social life and customs -- Fiction'};Jane+Barlow;Strangers+Lisconnel;https://www.worldcat.org/search?q=Jane+Barlow+Strangers+Lisconnel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG868;The Philosopher's Joke;Jerome, Jerome K. (Jerome Klapka);;1859.0;1927.0;2008.0;1903;['en'];;34;{'Short stories', 'Fiction'};Jerome+Jerome;Philosopher+Joke;https://www.worldcat.org/search?q=Jerome+Jerome+Philosopher+Joke&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG43838;The Pearl of the Andes: A Tale of Love and Adventure;Aimard, Gustave;;1818.0;1883.0;1800.0;1860;['en'];;14;{'Love stories', 'Adventure stories', 'Andes Region -- Fiction'};Gustave+Aimard;Pearl+Andes;https://www.worldcat.org/search?q=Gustave+Aimard+Pearl+Andes&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49785;Scouting Dave: The Trail Hunter;Bowen, James L. (James Lorenzo);;1842.0;1919.0;1800.0;1890;['en'];;5;{'Dime novels', 'Black Hawk War, 1832 -- Fiction'};James+Bowen;Scouting+Dave;https://www.worldcat.org/search?q=James+Bowen+Scouting+Dave&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
