;author;year;avgsentlen
HU16124;Bartók Lajos;1896;11.431136413400482
HU17960;Virághalmi Ferenc;1866;20.070144927536234
HU18411;Ábrai Károly;1860;14.089867617107943
HU13606;Werner Gyula;1907;10.440078174076918
HU14689;Vértesi Arnold;1895;13.311094996374184
HU00012;Vachott Sándorné;1859;28.29072561268621
HU00719;Karinthy Frigyes;1916;17.128548895899055
HU17694;Lux Terka;1906;16.906655844155843
HU00879;Mikes Kelemen;1880;19.670058139534884
HU07119;Cholnoky Viktor;1913;26.712316176470587
HU00628;Bródy Sándor;1898;16.01109007303219
HU08163;Fáy András;1855;26.040032679738562
HU10428;Szomaházy István;1920;24.68406779661017
HU02204;Jókai Mór;1852;21.228831725616292
HU14315;Kupa Árpád;1898;13.474510465901417
HU17606; Teleki Sándorné;1919;12.758780531289
HU00977;Móra Ferenc;1910;14.353490929081913
HU16672;Kovács József;1869;28.218685831622178
HU07552;Kuthy Lajos;1846;21.838759974318993
HU18153;Nagy Ignác;1848;22.79030976965846
HU14564; Herman Ottóné;1897;18.468820861678005
HU00011;Vachott Sándorné;1854;20.54034729315628
HU00662;Gárdonyi Géza;1901;9.96461765948458
HU00763;Krúdy Gyula;1919;18.08601134215501
HU00949;Mikszáth Kálmán;1908;15.941886941886942
HU14548;Ábrányi Kornél;1881;15.18266253869969
HU01116;Vas Gereben;1856;28.691510920963747
HU18993;Kánya Emília;1860;19.601332473672898
HU16127;Palotás Fausztin;1896;12.395001864975756
HU12028;Abonyi Árpád;1892;13.75
HU07718;Beöthy Zsolt;1875;18.225626740947074
HU16243;Beksics Gusztávné;1892;10.801793721973095
HU13387; Gárdonyi Géza;1901;9.705672944418925
HU14261;Pekár Gyula;1895;16.616618911174786
HU05964;Cholnoky László;1919;22.71322202166065
HU16824;Ritoók Emma;1908;17.088358208955224
HU11795;               Ágai Adolf;1912;15.557061790668348
HU11129;Andor Mária;1918;20.560042887776984
HU09105;Török Gyula;1918;14.201387925052048
HU17910;Jósika Júlia;1872;27.307291666666668
HU13445;Beöthy László;1895;11.975568942436412
HU17653;Czóbel Minka;1908;16.368846436443793
HU17048;Kabos Ede;1908;13.05276073619632
HU00666;;1857.0;20.52183567727609
HU16355;Kada Elek;1893;13.59548611111111
HU14769;Beniczkyné Bajza Lenke;1878;20.757668711656443
HU12359;Zigány Árpád;1902;21.944725111441308
HU12750;Bársony István;1903;13.109565217391305
HU16529;;1914.0;11.501908743864751
HU13802;Abonyi Lajos;1886;13.588518751309449
HU16600;Lovik Károly;1908;13.893789048144065
HU17999;Kánya Emília;1863;27.257610350076103
HU02143;Vas Gereben;1860;25.6214794181368
HU01009;Petőfi Sándor;1846;11.902350813743219
HU07551;Nagy Ignác;1845;19.6422417398578
HU00898;Mikszáth Kálmán;1889;14.153883260974434
HU03130;Eötvös József;1842;33.592393639879674
HU00954; Mikszáth Kálmán;1895;14.776818181818182
HU10230;Jósika Miklós;1852;25.727789815817985
HU05060;Móricz Zsigmond;1911;12.961245104102247
HU00730;Kemény Zsigmond;1855;14.86060100166945
HU19040;Nagy Ignác;1844;20.135122941574554
HU05286;Ambrus Zoltán;1906;15.208847115633354
HU01115;Vas Gereben;1858;22.839983111674055
HU16344;Eötvös Károly;1909;12.164383561643836
HU06784;Rákosi Viktor;1899;11.84143941523756
HU16361;Boross Mihály;1856;20.578125
HU07729;Wohl Stefánia;1887;16.73655710867649
HU06982;Gárdonyi Géza;1895;10.730955259975817
HU17435;Tormay Cécile;1920;11.773090775898908
HU07703;Vadnai Károly;1860;17.825892857142858
HU11968;Donászy Ferenc;1894;31.14764397905759
HU02028;Kaffka Margit;1911;16.79805043441407
HU18535;Gozsdu Elek;1882;13.081354338114272
HU14745;Beniczkyné Bajza Lenke;1866;19.11062238838795
HU00726;Kazinczy Ferenc;1878;20.705737704918032
HU07693;Degré Alajos;1861;15.923001949317738
HU14125;Csiky Gergely;1892;20.37041640770665
HU05572;Jókai Mór;1854;18.854060066740825
HU13462;Kövér Ilma;1897;12.846289752650177
HU07629;Podmaniczky Frigyes;1854;22.65373134328358
HU14197;Szathmáry Károly, P.;1888;28.909473684210525
HU16123; Malonyay Dezső;1896;13.860287081339713
HU05620;Kemény Zsigmond;1862;19.25577896320613
HU04774;Eötvös József;1847;26.99371704252216
HU05573;Jókai Mór;1873;15.749210803226937
HU13316;Szemere György;1911;14.58277379022922
HU14664;Tolnai Lajos;1867;17.80524781341108
HU19018;Vachott Sándorné;1857;29.113072877535686
HU00600;Babits Mihály;1916;13.498168498168498
HU08358; Benedek Elek;1920;14.909792379285657
HU16359;Prém József;1893;10.065616180620884
HU19000;Asbóth János;1878;19.370095002065263
HU07694;Toldy István;1872;22.764682220434434
HU00642;Eötvös József;1845;29.252199413489738
HU16328;Tábori Róbert;1891;15.935779816513762
HU17873; Jósika Júlia;1864;25.188805970149254
HU19006;Kelmenfy László;1846;26.826853969291083
HU18964;Jósika Júlia;1862;23.421739130434784
HU00731;Kemény Zsigmond;1876;16.416418798334323
