;author;title;year;avgsentlen
PG56872;Charles+Loomis;Minerva+Manoeuvres;1905;20.82379229623324
PG23766;Emily+Holt;Forty+Five;1874;18.89253486464315
PG28989;Eleanor+Gates;Biography+Prairie;1902;26.762280701754385
PG6058;Albion+Tourgée;Bricks+Without;1880;25.16430560600557
PG19485;Stanley+Weyman;Long+Night;1903;17.97448259642521
PG29486;Charles+Major;Forest+Hearth;1903;21.432982694265355
PG4956;Maturin+Ballou;Duke+Prize;1848;22.263297090802233
PG7814;James+Cowan;Daybreak+Romance;1896;27.303197353914
PG35076;Israel+Zangwill;Ghetto+Tragedies;1898;19.111812080536914
PG12936;Edward+Stratemeyer;Young+Hunters;1899;16.491487786824575
PG23493;Ballantyne;Under+Waves;1870;26.949707348796878
PG20436;Pansy;Sunshine+Factory;1878;24.97979797979798
PG26156;Charlotte+Yonge;Hopes+Fears;1860;25.800054929964297
PG38995;Thomas+Miller;Sheep+Lamb;1850;25.147727272727273
PG10658;Arnold+Bennett;Hilda+Lessways;1911;18.1171875
PG23505;Ballantyne;Freaks+Fells;1865;23.20728821580691
PG9151;Harry+Wilson;Ruggles;1915;22.994672624162227
PG3536;Nesbit;Enchanted+Castle;1901;18.44177093358999
PG6286;Gilbert+Parker;Never+Know;1907;22.85933503836317
PG22287;Eliot+Robinson;Smiles+Rose;1919;27.32695614789338
PG36099;Upton+Sinclair;Cadet+Honor;1903;18.270199370409234
PG1757;Thomas+Aldrich;Cruise+Dolphin;1894;25.71627906976744
PG23383;William+Kingston;Archibald+Hughson;1857;25.260900643316656
PG11441;Saintine;Solitary+Juan;1851;27.35256780150029
PG31542;Romain+Rolland;Pierre+Luce;1918;18.455128205128204
PG52563;Vaughan+Kester;Hand+Mighty;1900;17.804946682464454
PG13878;Mary+Holmes;English+Orphans;1855;31.695352839931154
PG7746;Edward+Lytton;Parisians;1872;29.08641975308642
PG58762;Susan+Coolidge;Year+Bargain;1872;18.099415204678362
PG58566;Ingersoll+Lockwood;Travels+Adventures;1890;23.10649750096117
PG39552;Mrs+Riddell;Mortomley+Estate;1870;25.88714613618975
PG21116;Arthur+Hornblow;Easiest+Story;1911;16.72383512544803
PG47023;Edward+Stratemeyer;Putnam+Hall;1908;15.98700191774984
PG28069;John+Bangs;Alice+Blunderland;1901;22.22877122877123
PG14034;Charles+Whistler;King+Alfred;1894;25.77901266477126
PG5582;Georg+Ebers;Burgomaster+Wife;1880;23.0684811237928
PG7822;Thomas+Haliburton;Attaché+Slick;1843;27.36970205623164
PG19970;Dost+Zamin;Power;1913;20.01964987495534
PG234;William+Morris;Child+Christopher;1875;40.47566515249838
PG50282;Roy+Rockwood;Speedwell+Boys;1913;16.701436781609196
PG63705;Prentiss+Ingraham;Buffalo+Bill;1884;18.200876908087043
PG32972;Jules+Verne;Round+World;1876;21.69259154130003
PG35784;Mayne+Reid;Gwen+Wynn;1860;21.860553379040155
PG6439;Annie+Carr;Sherwood+Rose;1919;15.603589629957899
PG15712;Arnold+Bennett;Hugo+Fantasia;1900;16.852636127917027
PG3339;Eugène+Sue;Wandering;1845;23.651650618982117
PG4366;Ambrose+Bierce;Such+Things;1888;26.404327248140635
PG6376;Emma+Southworth;Self+Raised;1869;20.169067296340025
PG24103;Anthony+Trollope;Cousin+Henry;1879;21.303438326520798
PG3996;Émile+Souvestre;Attic+Philosopher;1853;26.91270860077022
PG40067;James+Mears;Iron+Boys;1912;16.162987317989668
PG1709;George+Gissing;Grub+Street;1891;18.218143992867226
PG1880;James+Cooper;Pathfinder+Inland;1840;30.933026654038695
PG6655;Percy+Fitzhugh;Slade+Scout;1915;20.78209321340965
PG36503;Eleanor+Ingram;Hearth;1911;17.12576956904134
PG26001;Anthony+Trollope;Bertrams;1859;20.546135368093825
PG5066;Alice+Brown;Whole+Family;1912;25.29778113968734
PG34819;József+Eötvös;Village+Notary;1849;20.86615560842365
PG15859;Herman+Melville;Piazza+Tales;1865;30.649286338479463
PG58517;Edmund+Yates;Kissing+Novel;1866;32.28378947368421
PG45402;Gustave+Aimard;Insurgent+Chief;1860;24.97651663405088
PG48938;James+Rymer;Betrayed+Murder;1842;23.172975499031978
PG5372;Winston+Churchill;Richard+Carvel;1899;20.19649495485927
PG3340;Eugène+Sue;Wandering;1845;25.689665044374465
PG41303;Gilbert+Parker;Ladder+Swords;1904;25.19009523809524
PG32061;Charles+Lever;Daltons+Three;1852;26.482733374008543
PG54010;Mrs+Hubback;Younger+Sister;1850;33.325268817204304
PG46443;George+Sims;Rogues+Vagabonds;1885;20.18524889796796
