;author;title;year;avgsentlen
PG1652;Jules+Verne;Survivors+Chancellor;1875;28.891833188531713
PG25966;Edward+Ellis;Camp+fire;1888;30.06256206554121
PG43082;Francis+Gribble;Stromboli+Guns;1914;19.70869297163995
PG44159;William+Scargill;Penelope+Love;1828;33.82079414838036
PG45975;Dinah+Craik;Little+Lame;1874;26.55686274509804
PG64329;Mary+Shelley;Falkner+Novel;1837;32.23982655103402
PG44914;Georgiana+Craik;;1862;16.97093791281374
PG10008;Stewart+White;Mystery;1920;15.289197426346089
PG10778;Walter+Scott;Prose+Marmion;1820;25.337677725118482
PG66344;Cécile+Tormay;House+Novel;1921;14.562375520550425
PG5474;Georg+Ebers;Cleopatra;1880;30.064935064935064
PG40385;Miriam+Harris;Rutledge;1866;29.39359802170628
PG52701;Henry+Harland;Comedies+Errors;1893;19.28738910012674
PG34483;William+Kingston;Alone+Island;1857;25.13464447806354
PG35620;Mayne+Reid;Osceola+Seminole;1858;20.63101307913988
PG13178;Charles+Dobie;Broken+Plow;1922;18.118110236220474
PG39970;Nathan+Gallizier;Hill+Venus;1913;20.01981162715167
PG38675;Charles+Roberts;Hoof+Claw;1900;26.260837619397503
PG25303;Metta+Victor;Home+Experiences;1868;33.05314009661836
PG15382;Cody;Jess+Rebel;1921;16.432477341389728
PG55164;Gelett+Burgess;Picaroons;1900;23.284080914687774
PG32924;George+Fenn;Mistress+Tale;1880;25.32880902313133
PG4235;Charlotte+Yonge;Dynevor+Terrace;1857;24.270337148159605
PG44256;Herbert+Strang;Brown+Moukden;1900;22.23781818181818
PG2171;George+Eliot;Brother+Jacob;1860;35.83220338983051
PG30664;John+Newman;Callista+Tale;1856;25.825242718446603
PG4251;Marie+Corelli;Life+Everlasting;1911;26.08670143415906
PG25564;Charles+Kingsley;Water+Babies;1857;32.76391901663051
PG51738;Harry+Castlemon;Julian+Mortimer;1887;24.906768558951963
PG2522;Elizabeth+Gaskell;Dark+Night;1863;29.565320665083135
PG29071;Mathew+Holt;Chit+Chat;1920;26.61279554937413
PG15900;Émile+Zola;Masterpiece;1881;25.06887310732949
PG12919;Andy+Adams;Texas+Matchmaker;1904;27.41458026509573
PG4632;Arthur;Good+Time;1857;19.319434102755025
PG16101;Leona+Dalrymple;Diane+Green;1912;18.343524350898754
PG5471;Georg+Ebers;Joshua;1880;36.65384615384615
PG17131;John+Scott;Colonel+Huzzars;1906;16.6941290950373
PG21304;George+Fenn;Begumbagh+Tale;1879;38.768755935422604
PG33499;Octave+Thanet;Stories+That;1884;22.40410132689988
PG56373;Pierce+Egan;Flower+Flock;1820;26.324946466809422
PG21489;Jules+Verne;Secret+Island;1876;22.135465418616743
PG34164;Mabel+Knowles;Blot+Scutcheon;1922;15.595687331536388
PG59207;Edmund+Yates;Broken+Harness;1864;28.443437671609004
PG60900;Mark+Twain;Merry+Tales;1892;18.77428888067972
PG6569;Joanna+Mathews;Bessie+Bradford;1868;32.604166666666664
PG63852;Eugène+Sue;Marquis+Létorière;1844;21.432215234102028
PG7670;Edward+Lytton;What+Will;1850;26.579666160849772
PG1406;Charles+Dickens;Perils+Certain;1850;26.88041237113402
PG9387;Mrs+Gore;Theresa+Marchmont;1824;42.86521739130435
PG32560;Charles+Lever;Gerald+Fitzgerald;1861;27.359845674432407
PG43245;William+Howitt;Luke+Barnicott;1850;30.56286549707602
PG13996;May+Sinclair;Divine+Fire;1905;19.257975302289683
PG39832;Flora+Steel;Permanent;1898;24.908827186075424
PG57673;Forrest+Reid;Garden+Tale;1921;23.517587939698494
PG12878;Frank+Honeywell;Radio+Boys;1922;20.54412265758092
PG1024;Robert+Stevenson;Wrecker;1892;24.7431906614786
PG2415;Jack+London;Mutiny+Elsinore;1915;20.04456304202802
PG46795;George+Rathborne;Pioneer+Boys;1912;24.754130495659478
PG10007;Joseph+Fanu;Carmilla;1854;24.910150891632373
